"","PROBEID","GENENAME","ORF"
"1933","2600_s_at",NA,NA
"1934","2601_at",NA,NA
"1935","2602_g_at",NA,NA
"1936","2603_s_at",NA,NA
"1937","2604_s_at",NA,NA
"1938","2605_s_at",NA,NA
"1939","2606_s_at",NA,NA
"1940","2607_s_at",NA,NA
"1941","2608_at",NA,NA
"1942","2609_at",NA,NA
"1943","2610_at",NA,NA
"1944","2611_at",NA,NA
"1945","2612_g_at",NA,NA
"1946","2613_s_at",NA,NA
"1947","2614_s_at",NA,NA
"1948","2615_s_at",NA,NA
"1949","2616_at",NA,NA
"1950","2617_at",NA,NA
"1951","2618_s_at",NA,NA
"1952","2619_s_at",NA,NA
"1953","2620_s_at",NA,NA
"1954","2621_s_at",NA,NA
"1955","2622_s_at",NA,NA
"1956","2623_s_at",NA,NA
"1957","2624_s_at",NA,NA
"1958","2625_at",NA,NA
"1959","2626_at",NA,NA
"1960","2627_at",NA,NA
"1961","2628_s_at",NA,NA
"1962","2629_s_at",NA,NA
"1963","2630_s_at",NA,NA
"1964","2631_s_at",NA,NA
"1965","2632_at",NA,NA
"1966","2633_at",NA,NA
"1967","2634_at",NA,NA
"1968","2635_at",NA,NA
"1969","2636_at",NA,NA
"1970","2637_g_at",NA,NA
"1971","2638_s_at",NA,NA
"1972","2639_at",NA,NA
"1973","2640_at",NA,NA
"1974","2641_g_at",NA,NA
"1975","2642_s_at",NA,NA
"1976","2643_s_at",NA,NA
"1977","2644_s_at",NA,NA
"1978","2645_s_at",NA,NA
"1979","2646_at",NA,NA
"1980","2647_at",NA,NA
"1981","2648_at",NA,NA
"1982","2649_at",NA,NA
"1983","2650_g_at",NA,NA
"1984","2651_s_at",NA,NA
"1985","2652_s_at",NA,NA
"1986","2653_at",NA,NA
"1987","2654_at",NA,NA
"1988","2655_at",NA,NA
"1989","2656_at",NA,NA
"1990","2657_at",NA,NA
"1991","2658_at",NA,NA
"1992","2659_g_at",NA,NA
"1993","2660_s_at",NA,NA
"1994","2661_s_at",NA,NA
"1995","2662_s_at",NA,NA
"1996","2663_s_at",NA,NA
"1997","2664_at",NA,NA
"1998","2665_at",NA,NA
"1999","2666_s_at",NA,NA
"2000","2667_s_at",NA,NA
"2001","2668_s_at",NA,NA
"2002","2669_at",NA,NA
"2003","2670_at",NA,NA
"2004","2671_at",NA,NA
"2005","2672_at",NA,NA
"2006","2673_at",NA,NA
"2007","2674_at",NA,NA
"2008","2675_at",NA,NA
"2009","2676_at",NA,NA
"2010","2677_at",NA,NA
"2011","2678_at",NA,NA
"2012","2679_at",NA,NA
"2013","2680_at",NA,NA
"2014","2681_g_at",NA,NA
"2015","2682_s_at",NA,NA
"2016","2683_at",NA,NA
"2017","2684_at",NA,NA
"2018","2685_at",NA,NA
"2019","2686_at",NA,NA
"2020","2687_g_at",NA,NA
"2021","2688_s_at",NA,NA
"2022","2689_s_at",NA,NA
"2023","2690_s_at",NA,NA
"2024","2691_s_at",NA,NA
"2025","2692_at",NA,NA
"2026","2693_at",NA,NA
"2027","2694_at",NA,NA
"2028","2695_at",NA,NA
"2029","2696_at",NA,NA
"2030","2697_g_at",NA,NA
"2031","2698_s_at",NA,NA
"2032","2699_at",NA,NA
"2033","2700_at",NA,NA
"2034","2701_g_at",NA,NA
"2035","2702_s_at",NA,NA
"2036","2703_g_at",NA,NA
"2037","2704_s_at",NA,NA
"2038","2705_s_at",NA,NA
"2039","2706_s_at",NA,NA
"2040","2707_s_at",NA,NA
"2041","2708_s_at",NA,NA
"2042","2709_s_at",NA,NA
"2043","2710_s_at",NA,NA
"2044","2711_s_at",NA,NA
"2045","2712_s_at",NA,NA
"2046","2713_s_at",NA,NA
"2047","2714_s_at",NA,NA
"2048","2715_at",NA,NA
"2049","2716_at",NA,NA
"2050","2717_at",NA,NA
"2051","2718_at",NA,NA
"2052","2719_at",NA,NA
"2053","2720_at",NA,NA
"2054","2721_at",NA,NA
"2055","2722_g_at",NA,NA
"2056","2723_s_at",NA,NA
"2057","2724_s_at",NA,NA
"2058","2725_s_at",NA,NA
"2059","2726_s_at",NA,NA
"2060","2727_s_at",NA,NA
"2061","2728_s_at",NA,NA
"2062","2729_at",NA,NA
"2063","2730_at",NA,NA
"2064","2731_at",NA,NA
"2065","2732_at",NA,NA
"2066","2733_g_at",NA,NA
"2067","2734_s_at",NA,NA
"2068","2735_s_at",NA,NA
"2069","2736_at",NA,NA
"2070","2737_at",NA,NA
"2071","2738_at",NA,NA
"2072","2739_g_at",NA,NA
"2073","2740_s_at",NA,NA
"2074","2741_s_at",NA,NA
"2075","2742_s_at",NA,NA
"2076","2743_at",NA,NA
"2077","2744_at",NA,NA
"2078","2745_g_at",NA,NA
"2079","2748_at",NA,NA
"2080","2749_s_at",NA,NA
"2081","2750_at",NA,NA
"2082","2751_at",NA,NA
"2083","2752_at",NA,NA
"2084","2753_at",NA,NA
"2085","2754_at",NA,NA
"2086","2755_at",NA,NA
"2087","2756_at",NA,NA
"2088","2757_g_at",NA,NA
"2089","2758_s_at",NA,NA
"2090","2759_at",NA,NA
"2091","2760_at",NA,NA
"2092","2761_at",NA,NA
"2093","2762_at",NA,NA
"2094","2763_s_at",NA,NA
"2095","2764_s_at",NA,NA
"2096","2765_s_at",NA,NA
"2097","2766_s_at",NA,NA
"2098","2767_at",NA,NA
"2099","2768_at",NA,NA
"2100","2769_at",NA,NA
"2101","2770_at",NA,NA
"2102","2771_at",NA,NA
"2103","2772_at",NA,NA
"2104","2773_at",NA,NA
"2105","2774_at",NA,NA
"2106","2775_at",NA,NA
"2107","2776_at",NA,NA
"2108","2777_at",NA,NA
"2109","2778_g_at",NA,NA
"2110","2779_s_at",NA,NA
"2111","2780_at",NA,NA
"2112","2781_at",NA,NA
"2113","2782_at",NA,NA
"2114","2783_g_at",NA,NA
"2115","2784_s_at",NA,NA
"2116","2785_s_at",NA,NA
"2117","2786_s_at",NA,NA
"2118","2787_at",NA,NA
"2119","2788_at",NA,NA
"2120","2789_s_at",NA,NA
"2121","2790_s_at",NA,NA
"2122","2791_s_at",NA,NA
"2123","2792_s_at",NA,NA
"2124","2793_s_at",NA,NA
"2125","2794_s_at",NA,NA
"2126","2795_s_at",NA,NA
"2127","2796_f_at",NA,NA
"2128","2797_at",NA,NA
"2129","2798_g_at",NA,NA
"2130","2799_at",NA,NA
"2131","2800_at",NA,NA
"2132","2801_at",NA,NA
"2133","2802_at",NA,NA
"2134","2803_at",NA,NA
"2135","2804_at",NA,NA
"2136","2805_g_at",NA,NA
"2137","2806_s_at",NA,NA
"2138","2807_at",NA,NA
"2139","2808_at",NA,NA
"2140","2809_at",NA,NA
"2141","2810_at",NA,NA
"2142","2811_at",NA,NA
"2143","2812_at",NA,NA
"2144","2813_at",NA,NA
"2145","2814_at",NA,NA
"2146","2815_at",NA,NA
"2147","2816_at",NA,NA
"2148","2817_at",NA,NA
"2149","2818_at",NA,NA
"2150","2819_s_at",NA,NA
"2151","2821_at",NA,NA
"2152","2822_at",NA,NA
"2153","2823_at",NA,NA
"2154","2824_at",NA,NA
"2155","2825_at",NA,NA
"2156","2826_at",NA,NA
"2157","2827_g_at",NA,NA
"2158","2828_at",NA,NA
"2159","2829_f_at",NA,NA
"2160","2832_s_at",NA,NA
"2161","2833_s_at",NA,NA
"2162","2834_at",NA,NA
"2163","2835_at",NA,NA
"2164","2836_g_at",NA,NA
"2165","2837_s_at",NA,NA
"2166","2838_s_at",NA,NA
"2167","2839_s_at",NA,NA
"2168","2840_s_at",NA,NA
"2169","2841_s_at",NA,NA
"2170","2842_at",NA,NA
"2171","2843_at",NA,NA
"2172","2844_at",NA,NA
"2173","2845_g_at",NA,NA
"2174","2846_s_at",NA,NA
"2175","2847_s_at",NA,NA
"2176","2848_s_at",NA,NA
"2177","2849_at",NA,NA
"2178","2850_g_at",NA,NA
"2179","2851_s_at",NA,NA
"2180","2852_s_at",NA,NA
"2181","2853_s_at",NA,NA
"2182","2854_s_at",NA,NA
"2183","2855_s_at",NA,NA
"2184","2856_at",NA,NA
"2185","2857_at",NA,NA
"2186","2858_at",NA,NA
"2187","2859_at",NA,NA
"2188","2860_g_at",NA,NA
"2189","2861_s_at",NA,NA
"2190","2862_s_at",NA,NA
"2191","2863_s_at",NA,NA
"2192","2864_at",NA,NA
"2193","2865_g_at",NA,NA
"2194","2866_s_at",NA,NA
"2195","2867_s_at",NA,NA
"2196","2868_s_at",NA,NA
"2197","2869_s_at",NA,NA
"2198","2870_s_at",NA,NA
"2199","2871_s_at",NA,NA
"2200","2872_at",NA,NA
"2201","2873_at",NA,NA
"2202","2874_g_at",NA,NA
"2203","2875_at",NA,NA
"2204","2876_at",NA,NA
"2205","2877_at",NA,NA
"2206","2878_at",NA,NA
"2207","2879_at",NA,NA
"2208","2880_at",NA,NA
"2209","2881_at",NA,NA
"2210","2882_at",NA,NA
"2211","2883_at",NA,NA
"2212","2884_g_at",NA,NA
"2213","2885_s_at",NA,NA
"2214","2886_s_at",NA,NA
"2215","2887_s_at",NA,NA
"2216","2888_at",NA,NA
"2217","2889_at",NA,NA
"2218","2890_at",NA,NA
"2219","2891_at",NA,NA
"2220","2892_at",NA,NA
"2221","2893_at",NA,NA
"2222","2894_at",NA,NA
"2223","2895_at",NA,NA
"2224","2896_at",NA,NA
"2225","2897_at",NA,NA
"2226","2898_at",NA,NA
"2227","2899_at",NA,NA
"2228","2900_at",NA,NA
"2229","2901_at",NA,NA
"2230","2902_at",NA,NA
"2231","2903_g_at",NA,NA
"2232","2904_s_at",NA,NA
"2233","2905_at",NA,NA
"2234","2906_at",NA,NA
"2235","2907_at",NA,NA
"2236","2908_at",NA,NA
"2237","2909_at",NA,NA
"2238","2910_at",NA,NA
"2239","2911_s_at",NA,NA
"2240","2912_at",NA,NA
"2241","2913_at",NA,NA
"2242","2914_at",NA,NA
"2243","2915_g_at",NA,NA
"2244","2916_s_at",NA,NA
"2245","2917_s_at",NA,NA
"2246","2918_s_at",NA,NA
"2247","2919_s_at",NA,NA
"2248","2920_at",NA,NA
"2249","2921_at",NA,NA
"2250","2922_at",NA,NA
"2251","2923_at",NA,NA
"2252","2924_g_at",NA,NA
"2253","2925_s_at",NA,NA
"2254","2926_s_at",NA,NA
"2255","2927_s_at",NA,NA
"2256","2928_at",NA,NA
"2257","2929_at",NA,NA
"2258","2930_at",NA,NA
"2259","2931_at",NA,NA
"2260","2932_at",NA,NA
"2261","2933_at",NA,NA
"2262","2934_at",NA,NA
"2263","2935_at",NA,NA
"2264","2936_at",NA,NA
"2265","2937_at",NA,NA
"2266","2938_at",NA,NA
"2267","2939_at",NA,NA
"2268","2940_at",NA,NA
"2269","2941_at",NA,NA
"2270","2942_at",NA,NA
"2271","2943_at",NA,NA
"2272","2944_g_at",NA,NA
"2273","2945_s_at",NA,NA
"2274","2946_s_at",NA,NA
"2275","2947_s_at",NA,NA
"2276","2948_s_at",NA,NA
"2277","2949_at",NA,NA
"2278","2950_at",NA,NA
"2279","2951_at",NA,NA
"2280","2952_at",NA,NA
"2281","2953_at",NA,NA
"2282","2954_at",NA,NA
"2283","2955_at",NA,NA
"2284","2956_g_at",NA,NA
"2285","2957_at",NA,NA
"2286","2958_at",NA,NA
"2287","2959_at",NA,NA
"2288","2960_at",NA,NA
"2289","2961_at",NA,NA
"2290","2962_at",NA,NA
"2291","2963_at",NA,NA
"2292","2964_at",NA,NA
"2293","2965_g_at",NA,NA
"2294","2966_s_at",NA,NA
"2295","2967_s_at",NA,NA
"2296","2968_s_at",NA,NA
"2297","2969_s_at",NA,NA
"2298","2970_s_at",NA,NA
"2299","2971_at",NA,NA
"2300","2972_at",NA,NA
"2301","2973_at",NA,NA
"2302","2974_at",NA,NA
"2303","2975_at",NA,NA
"2304","2976_at",NA,NA
"2305","2977_at",NA,NA
"2306","2978_at",NA,NA
"2307","2979_at",NA,NA
"2308","2980_at",NA,NA
"2309","2981_at",NA,NA
"2310","2982_at",NA,NA
"2311","2983_at",NA,NA
"2312","2984_at",NA,NA
"2313","2985_at",NA,NA
"2314","2986_at",NA,NA
"2315","2987_at",NA,NA
"2316","2988_at",NA,NA
"2317","2989_at",NA,NA
"2318","2990_g_at",NA,NA
"2319","2991_at",NA,NA
"2320","2992_g_at",NA,NA
"2321","2993_s_at",NA,NA
"2322","2994_s_at",NA,NA
"2323","2995_s_at",NA,NA
"2324","2996_s_at",NA,NA
"2325","2997_s_at",NA,NA
"2326","2998_at",NA,NA
"2327","2999_at",NA,NA
"2328","3000_at",NA,NA
"2329","3001_at",NA,NA
"2330","3002_g_at",NA,NA
"2331","3003_s_at",NA,NA
"2332","3004_s_at",NA,NA
"2333","3005_at",NA,NA
"2334","3006_at",NA,NA
"2335","3007_at",NA,NA
"2336","3008_at",NA,NA
"2337","3009_g_at",NA,NA
"2338","3010_s_at",NA,NA
"2339","3011_s_at",NA,NA
"2340","3012_s_at",NA,NA
"2341","3013_at",NA,NA
"2342","3014_at",NA,NA
"2343","3015_at",NA,NA
"2344","3016_at",NA,NA
"2345","3017_g_at",NA,NA
"2346","3018_s_at",NA,NA
"2347","3019_at",NA,NA
"2348","3020_at",NA,NA
"2349","3021_at",NA,NA
"2350","3022_at",NA,NA
"2351","3023_at",NA,NA
"2352","3024_g_at",NA,NA
"2353","3025_s_at",NA,NA
"2354","3026_at",NA,NA
"2355","3027_at",NA,NA
"2356","3028_at",NA,NA
"2357","3029_at",NA,NA
"2358","3030_at",NA,NA
"2359","3031_at",NA,NA
"2360","3032_at",NA,NA
"2361","3033_s_at",NA,NA
"2362","3034_at",NA,NA
"2363","3035_at",NA,NA
"2364","3036_at",NA,NA
"2365","3037_at",NA,NA
"2366","3038_at",NA,NA
"2367","3039_s_at",NA,NA
"2368","3040_at",NA,NA
"2369","3041_at",NA,NA
"2370","3042_at",NA,NA
"2371","3043_at",NA,NA
"2372","3044_at",NA,NA
"2373","3045_s_at",NA,NA
"2374","3046_at",NA,NA
"2375","3047_at",NA,NA
"2376","3048_at",NA,NA
"2377","3049_at",NA,NA
"2378","3050_at",NA,NA
"2379","3051_at",NA,NA
"2380","3052_at",NA,NA
"2381","3053_at",NA,NA
"2382","3054_at",NA,NA
"2383","3055_g_at",NA,NA
"2384","3056_s_at",NA,NA
"2385","3057_s_at",NA,NA
"2386","3058_s_at",NA,NA
"2387","3059_at",NA,NA
"2388","3060_at",NA,NA
"2389","3061_at",NA,NA
"2390","3062_at",NA,NA
"2391","3063_at",NA,NA
"2392","3064_at",NA,NA
"2393","3065_g_at",NA,NA
"2394","3066_at",NA,NA
"2395","3067_g_at",NA,NA
"2396","3068_s_at",NA,NA
"2397","3069_s_at",NA,NA
"2398","3070_s_at",NA,NA
"2399","3071_s_at",NA,NA
"2400","3072_s_at",NA,NA
"2401","3073_s_at",NA,NA
"2402","3074_at",NA,NA
"2403","3075_at",NA,NA
"2404","3076_at",NA,NA
"2405","3077_at",NA,NA
"2406","3078_g_at",NA,NA
"2407","3079_s_at",NA,NA
"2408","3080_f_at",NA,NA
"2409","3081_at",NA,NA
"2410","3082_at",NA,NA
"2411","3083_g_at",NA,NA
"2412","3084_s_at",NA,NA
"2413","3085_s_at",NA,NA
"2414","3086_s_at",NA,NA
"2415","3087_s_at",NA,NA
"2416","3088_at",NA,NA
"2417","3089_g_at",NA,NA
"2418","3090_s_at",NA,NA
"2419","3091_at",NA,NA
"2420","3092_f_at",NA,NA
"2421","3093_f_at",NA,NA
"2422","3096_f_at",NA,NA
"2423","3097_at",NA,NA
"2424","3098_at",NA,NA
"2425","3099_at",NA,NA
"2426","3100_s_at",NA,NA
"2427","3101_at",NA,NA
"2428","3102_s_at",NA,NA
"2429","3103_at",NA,NA
"2430","3104_at",NA,NA
"2431","3105_g_at",NA,NA
"2432","3106_s_at",NA,NA
"2433","3107_s_at",NA,NA
"2434","3108_at",NA,NA
"2435","3109_at",NA,NA
"2436","3110_s_at",NA,NA
"2437","3111_s_at",NA,NA
"2438","3112_s_at",NA,NA
"2439","3113_s_at",NA,NA
"2440","3114_s_at",NA,NA
"2441","3115_at",NA,NA
"2442","3116_at",NA,NA
"2443","3117_at",NA,NA
"2444","3118_at",NA,NA
"2445","3119_at",NA,NA
"2446","3120_at",NA,NA
"2447","3121_at",NA,NA
"2448","3122_at",NA,NA
"2449","3123_at",NA,NA
"2450","3124_at",NA,NA
"2451","3125_at",NA,NA
"2452","3126_at",NA,NA
"2453","3127_at",NA,NA
"2454","3128_at",NA,NA
"2455","3129_at",NA,NA
"2456","3130_at",NA,NA
"2457","3131_g_at",NA,NA
"2458","3133_f_at",NA,NA
"2459","3136_s_at",NA,NA
"2460","3137_s_at",NA,NA
"2461","3139_f_at",NA,NA
"2462","3141_i_at",NA,NA
"2463","3142_f_at",NA,NA
"2464","3143_f_at",NA,NA
"2465","3144_f_at",NA,NA
"2466","3145_at",NA,NA
"2467","3147_at",NA,NA
"2468","3148_s_at","HMRA2","YCR096C"
"2469","3149_at",NA,NA
"2470","3150_at",NA,NA
"2471","3151_g_at",NA,NA
"2472","3152_at",NA,NA
"2473","3153_at",NA,NA
"2474","3154_at",NA,NA
"2475","3155_at",NA,NA
"2476","3156_at",NA,NA
"2477","3157_at",NA,NA
"2478","3158_at",NA,NA
"2479","3159_at",NA,NA
"2480","3161_f_at",NA,NA
"2481","3162_at",NA,NA
"2482","3163_i_at",NA,NA
"2483","3164_f_at",NA,NA
"2484","3165_at",NA,NA
"2485","3166_i_at",NA,NA
"2486","3167_r_at",NA,NA
"2487","3168_f_at",NA,NA
"2488","3169_f_at",NA,NA
"2489","3170_i_at",NA,NA
"2490","3171_r_at",NA,NA
"2491","3172_f_at",NA,NA
"2492","3173_i_at",NA,NA
"2493","3174_f_at",NA,NA
"2494","3175_i_at",NA,NA
"2495","3176_f_at",NA,NA
"2496","3177_f_at",NA,NA
"2497","3178_f_at",NA,NA
"2498","3180_f_at",NA,NA
"2499","3181_f_at",NA,NA
"2500","3182_i_at",NA,"YHR217C"
"2501","3183_f_at",NA,"YIL177C"
"2502","3184_s_at",NA,"YIL177C"
"2503","3185_s_at",NA,"YIL175W"
"2504","3187_s_at",NA,"YHL050C"
"2505","3188_at","COS8","YHL048W"
"2506","3189_i_at","COS8","YHL048W"
"2507","3190_f_at","COS8","YHL048W"
"2508","3191_i_at",NA,NA
"2509","3192_f_at",NA,NA
"2510","3193_at",NA,"YHL045W"
"2511","3195_f_at",NA,NA
"2512","3196_f_at",NA,NA
"2513","3199_f_at",NA,NA
"2514","3200_i_at",NA,NA
"2515","3201_r_at",NA,NA
"2516","3202_f_at",NA,NA
"2517","3203_f_at",NA,NA
"2518","3204_at",NA,NA
"2519","3206_at",NA,NA
"2520","3207_i_at",NA,NA
"2521","3208_f_at",NA,NA
"2522","3209_f_at",NA,NA
"2523","3212_f_at",NA,NA
"2524","3214_at",NA,NA
"2525","3215_f_at",NA,NA
"2526","3216_at",NA,NA
"2527","3218_at",NA,NA
"2528","3222_f_at",NA,NA
"2529","3223_f_at",NA,NA
"2530","3225_f_at",NA,NA
"2531","3226_f_at",NA,NA
"2532","3228_at",NA,NA
"2533","3230_f_at",NA,NA
"2534","3232_f_at",NA,NA
"2535","3233_f_at",NA,NA
"2536","3234_at","COS6","YGR295C"
"2537","3235_f_at",NA,NA
"2538","3236_f_at",NA,NA
"2539","3237_f_at",NA,NA
"2540","3239_f_at",NA,NA
"2541","3240_f_at",NA,NA
"2542","3241_f_at",NA,NA
"2543","3243_at",NA,NA
"2544","3244_i_at",NA,NA
"2545","3245_f_at",NA,NA
"2546","3247_s_at",NA,NA
"2547","3248_s_at",NA,NA
"2548","3249_s_at",NA,NA
"2549","3250_s_at",NA,NA
"2550","3251_s_at",NA,NA
"2551","3252_s_at",NA,NA
"2552","3253_f_at",NA,NA
"2553","3255_at",NA,NA
"2554","3256_at",NA,NA
"2555","3257_f_at",NA,NA
"2556","3258_f_at",NA,NA
"2557","3259_at",NA,NA
"2558","3260_f_at",NA,NA
"2559","3262_at",NA,NA
"2560","3263_i_at",NA,NA
"2561","3264_f_at",NA,NA
"2562","3267_f_at",NA,NA
"2563","3268_f_at",NA,NA
"2564","3269_f_at",NA,NA
"2565","3270_f_at",NA,NA
"2566","3271_i_at",NA,NA
"2567","3272_f_at",NA,NA
"2568","3274_at",NA,NA
"2569","3276_i_at",NA,NA
"2570","3277_f_at",NA,NA
"2571","3279_f_at",NA,NA
"2572","3283_f_at",NA,NA
"2573","3284_f_at",NA,NA
"2574","3285_f_at",NA,NA
"2575","3286_f_at",NA,NA
"2576","3287_s_at",NA,NA
"2577","3288_at",NA,NA
"2578","3289_i_at",NA,NA
"2579","3290_f_at",NA,NA
"2580","3291_f_at",NA,NA
"2581","3294_at",NA,NA
"2582","3296_at",NA,NA
"2583","3297_i_at",NA,NA
"2584","3298_f_at",NA,NA
"2585","3299_f_at",NA,"YGL260W"
"2586","3301_f_at",NA,NA
"2587","3302_f_at",NA,NA
"2588","3303_f_at",NA,NA
"2589","3304_f_at",NA,NA
"2590","3305_at",NA,NA
"2591","3306_i_at",NA,NA
"2592","3307_s_at",NA,NA
"2593","3308_s_at",NA,NA
"2594","3309_s_at",NA,NA
"2595","3310_s_at",NA,NA
"2596","3311_f_at",NA,NA
"2597","3313_f_at",NA,NA
"2598","3315_f_at",NA,NA
"2599","3316_f_at",NA,NA
"2600","3317_f_at",NA,NA
"2601","3319_f_at",NA,NA
"2602","3320_i_at",NA,NA
"2603","3321_f_at",NA,NA
"2604","3322_at",NA,NA
"2605","3323_i_at",NA,NA
"2606","3324_at",NA,NA
"2607","3325_f_at",NA,"YER188C-A"
"2608","3326_at",NA,"YFL063W"
"2609","3327_f_at","COS4","YFL062W"
"2610","3328_at",NA,NA
"2611","3329_f_at",NA,NA
"2612","3330_f_at",NA,NA
"2613","3332_i_at",NA,NA
"2614","3333_f_at",NA,NA
"2615","3334_at",NA,NA
"2616","3335_at",NA,NA
"2617","3336_f_at",NA,NA
"2618","3337_i_at",NA,NA
"2619","3338_f_at",NA,NA
"2620","3340_f_at",NA,NA
"2621","3342_f_at",NA,NA
"2622","3343_i_at",NA,NA
"2623","3344_f_at",NA,NA
"2624","3345_f_at",NA,NA
"2625","3346_at",NA,NA
"2626","3347_s_at",NA,NA
"2627","3348_f_at",NA,NA
"2628","3350_f_at",NA,NA
"2629","3352_s_at",NA,NA
"2630","3354_s_at",NA,NA
"2631","3355_s_at",NA,NA
"2632","3356_f_at",NA,"YDR543C"
"2633","3357_at",NA,"YDR544C"
"2634","3358_f_at",NA,NA
"2635","3359_f_at",NA,NA
"2636","3360_at",NA,NA
"2637","3361_f_at",NA,NA
"2638","3362_at",NA,NA
"2639","3363_at",NA,NA
"2640","3364_f_at",NA,NA
"2641","3365_f_at",NA,NA
"2642","3366_at",NA,NA
"2643","3367_f_at",NA,NA
"2644","3368_f_at",NA,NA
"2645","3369_i_at",NA,NA
"2646","3370_f_at",NA,NA
"2647","3371_f_at",NA,NA
"2648","3372_f_at",NA,NA
"2649","3373_at",NA,NA
"2650","3374_at",NA,NA
"2651","3375_f_at",NA,NA
"2652","3376_f_at",NA,NA
"2653","3377_at",NA,NA
"2654","3378_f_at",NA,NA
"2655","3379_f_at",NA,NA
"2656","3380_i_at",NA,NA
"2657","3381_f_at",NA,NA
"2658","3382_f_at",NA,NA
"2659","3383_f_at",NA,NA
"2660","3384_f_at",NA,NA
"2661","3385_s_at",NA,NA
"2662","3386_f_at",NA,NA
"2663","3387_f_at",NA,NA
"2664","3388_f_at",NA,NA
"2665","3389_f_at",NA,NA
"2666","3390_at",NA,NA
"2667","3391_f_at",NA,NA
"2668","3392_f_at",NA,NA
"2669","3393_f_at",NA,NA
"2670","3394_f_at",NA,NA
"2671","3395_f_at",NA,NA
"2672","3396_f_at",NA,NA
"2673","3397_f_at",NA,NA
"2674","3398_f_at",NA,NA
"2675","3399_f_at",NA,NA
"2676","3400_i_at",NA,NA
"2677","3401_f_at",NA,NA
"2678","3402_at",NA,NA
"2679","3403_f_at","PAU10","YDR542W"
"2680","3404_f_at",NA,NA
"2681","3405_f_at",NA,NA
"2682","3406_f_at",NA,NA
"2683","3407_at",NA,NA
"2684","3408_f_at",NA,NA
"2685","3409_f_at",NA,NA
"2686","3410_f_at",NA,NA
"2687","3411_f_at",NA,NA
"2688","3412_f_at",NA,NA
"2689","3413_f_at",NA,NA
"2690","3414_f_at",NA,NA
"2691","3415_i_at",NA,NA
"2692","3416_s_at",NA,NA
"2693","3417_f_at",NA,NA
"2694","3418_f_at",NA,NA
"2695","3419_f_at",NA,NA
"2696","3420_f_at",NA,NA
"2697","3421_f_at",NA,NA
"2698","3422_f_at",NA,NA
"2699","3423_f_at",NA,NA
"2700","3424_f_at",NA,NA
"2701","3425_f_at",NA,NA
"2702","3426_f_at",NA,NA
"2703","3427_at",NA,NA
"2704","3428_f_at",NA,NA
"2705","3429_f_at",NA,NA
"2706","3430_f_at",NA,NA
"2707","3431_f_at",NA,NA
"2708","3432_f_at",NA,NA
"2709","3433_i_at",NA,NA
"2710","3434_f_at",NA,NA
"2711","3435_f_at",NA,NA
"2712","3436_f_at",NA,NA
"2713","3437_f_at",NA,NA
"2714","3438_f_at",NA,NA
"2715","3439_f_at",NA,NA
"2716","3440_f_at",NA,NA
"2717","3441_f_at",NA,NA
"2718","3442_f_at",NA,NA
"2719","3443_f_at",NA,NA
"2720","3444_f_at",NA,NA
"2721","3445_f_at",NA,NA
"2722","3446_i_at",NA,NA
"2723","3447_f_at",NA,NA
"2724","3448_s_at",NA,NA
"2725","3449_i_at",NA,NA
"2726","3450_r_at",NA,NA
"2727","3451_f_at",NA,NA
"2728","3452_f_at",NA,NA
"2729","3453_at",NA,"YCR007C"
"2730","3454_s_at",NA,NA
"2731","3455_f_at",NA,NA
"2732","3456_i_at",NA,NA
"2733","3457_f_at",NA,NA
"2734","3458_f_at",NA,NA
"2735","3459_at",NA,NA
"2736","3460_at",NA,NA
"2737","3461_f_at",NA,NA
"2738","3462_f_at",NA,NA
"2739","3463_at",NA,NA
"2740","3464_at",NA,NA
"2741","3465_at",NA,NA
"2742","3466_i_at",NA,NA
"2743","3467_f_at",NA,NA
"2744","3468_i_at",NA,NA
"2745","3469_f_at",NA,NA
"2746","3470_i_at","COS7","YDL248W"
"2747","3471_f_at","COS7","YDL248W"
"2748","3472_f_at",NA,NA
"2749","3473_f_at",NA,NA
"2750","3474_f_at",NA,NA
"2751","3475_f_at",NA,NA
"2752","3476_f_at",NA,NA
"2753","3477_at",NA,NA
"2754","3478_f_at",NA,NA
"2755","3479_f_at",NA,NA
"2756","3480_at",NA,NA
"2757","3481_at",NA,NA
"2758","3482_f_at",NA,NA
"2759","3483_f_at","COS2","YBR302C"
"2760","3484_f_at",NA,NA
"2761","3485_at",NA,NA
"2762","3486_at",NA,NA
"2763","3487_g_at",NA,NA
"2764","3488_at",NA,NA
"2765","3489_f_at",NA,NA
"2766","3490_f_at",NA,NA
"2767","3491_f_at",NA,NA
"2768","3492_f_at",NA,NA
"2769","3493_f_at",NA,NA
"2770","3494_f_at",NA,NA
"2771","3495_f_at",NA,NA
"2772","3496_f_at",NA,NA
"2773","3497_f_at",NA,NA
"2774","3498_f_at",NA,NA
"2775","3499_f_at",NA,NA
"2776","3500_f_at",NA,NA
"2777","3501_f_at",NA,NA
"2778","3502_f_at",NA,NA
"2779","3503_f_at",NA,NA
"2780","3504_f_at",NA,NA
"2781","3505_s_at",NA,NA
"2782","3506_s_at",NA,NA
"2783","3507_at",NA,NA
"2784","3508_f_at",NA,NA
"2785","3509_f_at",NA,NA
"2786","3510_s_at",NA,NA
"2787","3511_f_at",NA,NA
"2788","3512_f_at",NA,NA
"2789","3513_f_at",NA,NA
"2790","3514_f_at",NA,NA
"2791","3515_at",NA,NA
