"","PROBEID","GENENAME","ORF"
"160","10159_at",NA,"YLR179C"
"161","10160_at","SAM1","YLR180W"
"162","10161_g_at","SAM1","YLR180W"
"163","10162_at","VTA1","YLR181C"
"164","10163_at","SWI6","YLR182W"
"165","10164_at","TOS4","YLR183C"
"166","10165_at",NA,"YLR184W"
"167","10166_at","RPL37A","YLR185W"
"168","10167_at","EMG1","YLR186W"
"169","10168_at","SKG3","YLR187W"
"170","10169_at","MDL1","YLR188W"
"171","10170_g_at",NA,"YLR140W"
"172","10171_at","RRN5","YLR141W"
"173","10172_at","PUT1","YLR142W"
"174","10173_at","DPH6","YLR143W"
"175","10174_at","ACF2","YLR144C"
"176","10175_at","RMP1","YLR145W"
"177","10176_at","SPE4","YLR146C"
"178","10177_at","SMD3","YLR147C"
"179","10178_at","PEP3","YLR148W"
"180","10179_at",NA,"YLR149C"
"181","10180_at","STM1","YLR150W"
"182","10181_at","PCD1","YLR151C"
"183","10182_at",NA,"YLR152C"
"184","10183_at","ACS2","YLR153C"
"185","10184_at","RNH203","YLR154C"
"186","10185_s_at","ASP3-1","YLR155C"
"187","10186_s_at",NA,"YLR156W"
"188","10187_at",NA,"YLR162W"
"189","10188_at","MAS1","YLR163C"
"190","10189_at","SHH4","YLR164W"
"191","10190_at","PUS5","YLR165C"
"192","10191_at","SEC10","YLR166C"
"193","10192_at","SRN2","YLR119W"
"194","10193_at","YPS1","YLR120C"
"195","10194_at","YPS3","YLR121C"
"196","10195_at",NA,"YLR122C"
"197","10196_g_at",NA,"YLR122C"
"198","10197_at",NA,"YLR123C"
"199","10198_at",NA,"YLR124W"
"200","10199_at",NA,"YLR125W"
"201","10200_at",NA,"YLR126C"
"202","10201_at","APC2","YLR127C"
"203","10202_at","DCN1","YLR128W"
"204","10203_at","DIP2","YLR129W"
"205","10204_at","ZRT2","YLR130C"
"206","10205_at","ACE2","YLR131C"
"207","10206_at","USB1","YLR132C"
"208","10207_at","CKI1","YLR133W"
"209","10208_at","PDC5","YLR134W"
"210","10209_at","SLX4","YLR135W"
"211","10210_at","TIS11","YLR136C"
"212","10211_at","RKM5","YLR137W"
"213","10212_at","NHA1","YLR138W"
"214","10213_at","SLS1","YLR139C"
"215","10214_at",NA,"YLR140W"
"216","10215_at","KIN2","YLR096W"
"217","10216_at","HRT3","YLR097C"
"218","10217_at","CHA4","YLR098C"
"219","10218_at","ICT1","YLR099C"
"220","10219_at","ERG27","YLR100W"
"221","10220_at",NA,"YLR101C"
"222","10221_at","APC9","YLR102C"
"223","10222_at","CDC45","YLR103C"
"224","10223_at","LCL2","YLR104W"
"225","10224_at","SEN2","YLR105C"
"226","10225_at","MDN1","YLR106C"
"227","10226_at","REX3","YLR107W"
"228","10227_at",NA,"YLR108C"
"229","10228_at","AHP1","YLR109W"
"230","10229_at","CCW12","YLR110C"
"231","10230_at",NA,"YLR111W"
"232","10231_at",NA,"YLR112W"
"233","10232_at","HOG1","YLR113W"
"234","10233_at","AVL9","YLR114C"
"235","10234_at","CFT2","YLR115W"
"236","10235_at","MSL5","YLR116W"
"237","10236_at","CLF1","YLR117C"
"238","10237_at",NA,"YLR118C"
"239","10238_at","BUD20","YLR074C"
"240","10239_at","RPL10","YLR075W"
"241","10240_at",NA,"YLR076C"
"242","10241_at","FMP25","YLR077W"
"243","10242_at","BOS1","YLR078C"
"244","10243_at","SIC1","YLR079W"
"245","10244_at","EMP46","YLR080W"
"246","10245_at","GAL2","YLR081W"
"247","10246_at","SRL2","YLR082C"
"248","10247_at","EMP70","YLR083C"
"249","10248_at","RAX2","YLR084C"
"250","10249_at","ARP6","YLR085C"
